sa2_code,sa2_name,persons_with_disorder,rrmse_pct,flag,proportion_pct,lower_ci_pct,upper_ci_pct,population
101021007,Braidwood,693.0,20.6,,19.8,11.8,27.7,3508.0
101021008,Karabar,1591.0,18.9,,23.8,15.0,32.6,6694.0
101021009,Queanbeyan,2057.0,19.8,,22.9,14.0,31.8,8991.0
101021010,Queanbeyan - East,919.0,19.7,,22.2,13.6,30.7,4148.0
101021012,Queanbeyan West - Jerrabomberra,1903.0,19.8,,19.6,12.0,27.2,9703.0
101021610,Googong,1032.0,20.4,,22.4,13.5,31.4,4600.0
101021611,Queanbeyan Surrounds,2375.0,19.0,,18.3,11.5,25.1,12992.0
101031013,Bombala,346.0,21.5,,17.8,10.3,25.3,1940.0
101031014,Cooma,944.0,20.8,,19.0,11.2,26.8,4967.0
101031015,Cooma Surrounds,484.0,21.7,,17.0,9.8,24.3,2845.0
101031016,Jindabyne - Berridale,1520.0,18.4,,24.7,15.8,33.6,6161.0
101041017,Batemans Bay,1626.0,17.2,,23.9,15.8,32.0,6799.0
101041018,Batemans Bay - South,1439.0,19.8,,20.0,12.3,27.8,7181.0
101041019,Bega - Tathra,1397.0,19.2,,20.6,12.8,28.3,6796.0
101041020,Bega-Eden Hinterland,1365.0,20.7,,17.4,10.3,24.4,7853.0
101041021,Broulee - Tomakin,674.0,18.9,,22.3,14.0,30.5,3028.0
101041022,Deua - Wadbilliga,5.0,46.8,*,17.9,1.5,34.2,28.0
101041023,Eden,491.0,21.1,,18.6,10.9,26.3,2638.0
101041024,Eurobodalla Hinterland,522.0,20.5,,17.5,10.4,24.5,2990.0
101041025,Merimbula - Tura Beach,1741.0,20.3,,18.8,11.3,26.3,9259.0
101041026,Moruya - Tuross Head,1204.0,21.0,,16.9,9.9,23.8,7142.0
101041027,Narooma - Bermagui,1480.0,19.6,,18.6,11.5,25.7,7951.0
101051539,Goulburn,4160.0,18.6,,22.7,14.4,30.9,18362.0
101051540,Goulburn Surrounds,2121.0,20.6,,19.1,11.4,26.9,11092.0
101061541,Yass,1075.0,20.2,,21.2,12.8,29.6,5074.0
101061542,Yass Surrounds,1981.0,20.5,,20.0,12.0,28.1,9892.0
101061543,Young,1622.0,19.0,,19.9,12.4,27.3,8170.0
101061544,Young Surrounds,1171.0,20.4,,19.4,11.7,27.2,6031.0
102011028,Avoca Beach - Copacabana,1187.0,20.3,,21.2,12.7,29.6,5607.0
102011029,Box Head - MacMasters Beach,1618.0,20.4,,18.4,11.0,25.7,8809.0
102011030,Calga - Kulnura,774.0,20.6,,19.7,11.8,27.7,3919.0
102011031,Erina - Green Point,2027.0,20.3,,18.4,11.1,25.7,11016.0
102011032,Gosford - Springfield,4078.0,18.5,,23.2,14.8,31.7,17543.0
102011033,Kariong,1011.0,20.5,,21.2,12.7,29.7,4767.0
102011034,Kincumber - Picketts Valley,1098.0,19.6,,19.5,12.0,27.0,5632.0
102011035,Narara,1169.0,20.3,,21.1,12.7,29.5,5532.0
102011036,Niagara Park - Lisarow,1293.0,19.9,,20.9,12.7,29.1,6180.0
102011037,Point Clare - Koolewong,1083.0,19.6,,21.2,13.0,29.4,5107.0
102011038,Saratoga - Davistown,1124.0,20.4,,20.1,12.1,28.2,5581.0
102011039,Terrigal - North Avoca,2575.0,19.1,,22.0,13.8,30.3,11691.0
102011040,Umina - Booker Bay - Patonga,4252.0,19.0,,21.7,13.6,29.8,19605.0
102011041,Wamberal - Forresters Beach,1460.0,19.9,,17.9,10.9,24.9,8149.0
102011042,Woy Woy - Blackwall,2416.0,20.0,,21.3,12.9,29.6,11352.0
102011043,Wyoming,1854.0,18.9,,21.8,13.7,29.9,8511.0
102021044,Bateau Bay - Killarney Vale,4130.0,18.1,,24.2,15.6,32.9,17038.0
102021045,Blue Haven - San Remo,2284.0,18.0,,26.7,17.3,36.1,8559.0
102021046,Budgewoi - Buff Point - Halekulani,1644.0,18.9,,20.9,13.2,28.7,7852.0
102021047,Chittaway Bay - Tumbi Umbi,2685.0,19.3,,21.8,13.6,30.1,12310.0
102021048,Gorokan - Kanwal - Charmhaven,4368.0,16.9,,24.9,16.6,33.2,17534.0
102021049,Jilliby - Yarramalong,548.0,20.7,,20.2,12.0,28.4,2709.0
102021050,Lake Munmorah - Mannering Park,2183.0,17.2,,24.5,16.2,32.8,8910.0
102021051,Ourimbah - Fountaindale,873.0,19.2,,22.6,14.1,31.0,3868.0
102021052,Summerland Point - Gwandalan,1137.0,18.9,,21.5,13.5,29.5,5281.0
102021053,The Entrance,3061.0,18.3,,23.7,15.2,32.2,12925.0
102021054,Toukley - Norah Head,1641.0,19.1,,21.3,13.3,29.3,7710.0
102021055,Tuggerah - Kangy Angy,873.0,19.0,,21.6,13.5,29.6,4048.0
102021056,Warnervale - Wadalba,3548.0,17.3,,23.6,15.6,31.6,15038.0
102021057,Wyong,1750.0,19.2,,24.2,15.1,33.3,7241.0
103011059,Bathurst - East,2168.0,19.3,,23.4,14.6,32.3,9252.0
103011060,Bathurst Surrounds,1222.0,16.9,,23.0,15.4,30.6,5313.0
103011061,Oberon,703.0,20.6,,18.9,11.3,26.5,3719.0
103011612,Bathurst - South,2055.0,17.2,,26.9,17.8,36.0,7630.0
103011613,Bathurst - West,2545.0,18.0,,23.5,15.2,31.8,10837.0
103021062,Condobolin,904.0,20.7,,19.3,11.5,27.2,4679.0
103021063,Cowra,1344.0,18.6,,19.1,12.1,26.0,7053.0
103021064,Cowra Surrounds,793.0,21.0,,17.3,10.2,24.4,4583.0
103021065,Forbes,1303.0,18.4,,17.4,11.1,23.6,7498.0
103021066,Grenfell,522.0,21.1,,18.3,10.7,25.9,2851.0
103021067,Parkes (NSW),1779.0,19.6,,21.8,13.5,30.2,8149.0
103021068,Parkes Surrounds,472.0,20.2,,19.8,12.0,27.7,2382.0
103021069,West Wyalong,766.0,20.7,,18.8,11.2,26.4,4081.0
103031070,Lithgow,1973.0,20.1,,20.9,12.7,29.1,9442.0
103031071,Lithgow Surrounds,1228.0,20.7,,18.2,10.8,25.6,6754.0
103031072,Mudgee,2130.0,19.3,,23.1,14.4,31.8,9219.0
103031073,Mudgee Surrounds - East,490.0,21.1,,18.0,10.5,25.5,2722.0
103031074,Mudgee Surrounds - West,1638.0,20.8,,19.1,11.3,26.9,8584.0
103041076,Blayney,1221.0,20.0,,21.2,12.8,29.5,5772.0
103041077,Orange,3251.0,18.9,,23.1,14.5,31.6,14093.0
103041078,Orange - North,4084.0,17.6,,24.3,15.9,32.6,16834.0
103041079,Orange Surrounds,1688.0,20.8,,18.8,11.1,26.5,8980.0
104011080,Grafton,3156.0,17.8,,21.8,14.2,29.4,14486.0
104011081,Grafton Surrounds,2432.0,20.9,,18.8,11.1,26.4,12967.0
104011082,Maclean - Yamba - Iluka,2743.0,20.2,,19.5,11.8,27.2,14067.0
104021083,Bellingen,993.0,20.2,,21.2,12.8,29.6,4687.0
104021084,Coffs Harbour - North,2980.0,19.3,,21.1,13.1,29.0,14153.0
104021085,Coffs Harbour - South,1839.0,19.7,,22.1,13.6,30.7,8311.0
104021086,Coramba - Nana Glen - Bucca,620.0,20.6,,20.0,11.9,28.1,3101.0
104021087,Dorrigo,490.0,21.1,,18.7,10.9,26.4,2627.0
104021088,Korora - Emerald Beach,1574.0,20.1,,19.8,12.0,27.6,7947.0
104021089,Sawtell - Boambee,3065.0,19.4,,19.6,12.2,27.1,15617.0
104021090,Urunga,774.0,20.7,,19.5,11.6,27.4,3967.0
104021091,Woolgoolga - Arrawarra,2258.0,20.1,,19.6,11.9,27.3,11522.0
105011093,Cobar,704.0,19.5,,23.1,14.3,31.9,3048.0
105011094,Coonamble,676.0,19.4,,23.2,14.4,32.0,2916.0
105011095,Nyngan - Warren,728.0,19.7,,21.4,13.1,29.7,3396.0
105011096,Walgett - Lightning Ridge,941.0,20.2,,21.0,12.7,29.3,4486.0
105021097,Broken Hill,3242.0,18.5,,23.8,15.2,32.5,13609.0
105031099,Coonabarabran,1252.0,20.0,,20.5,12.4,28.5,6121.0
105031100,Dubbo - East,1792.0,19.1,,22.7,14.2,31.2,7902.0
105031101,Dubbo - South,3443.0,19.4,,23.3,14.4,32.1,14785.0
105031102,Dubbo - West,1829.0,18.8,,23.7,15.0,32.4,7725.0
105031103,Dubbo Surrounds,881.0,20.8,,19.3,11.4,27.1,4575.0
105031104,Gilgandra,703.0,19.3,,21.5,13.4,29.6,3274.0
105031105,Narromine,987.0,18.8,,20.5,13.0,28.1,4809.0
105031106,Wellington,1439.0,19.6,,22.4,13.8,31.1,6416.0
106011107,Branxton - Greta - Pokolbin,2319.0,19.2,,22.9,14.3,31.5,10115.0
106011108,Cessnock,3869.0,18.2,,23.0,14.8,31.3,16787.0
106011109,Cessnock Surrounds,1500.0,20.6,,20.5,12.2,28.7,7320.0
106011110,Dungog,1416.0,20.0,,18.7,11.4,26.0,7571.0
106011111,Kurri Kurri - Abermain,3614.0,17.4,,22.1,14.6,29.7,16322.0
106011112,Singleton,2904.0,19.4,,23.2,14.4,32.0,12527.0
106011113,Singleton Surrounds,938.0,19.2,,22.3,13.9,30.7,4206.0
106021114,Maitland,1798.0,18.4,,26.9,17.2,36.6,6683.0
106021116,Maitland - North,1428.0,20.1,,21.8,13.2,30.3,6561.0
106021614,East Maitland - Metford,3403.0,17.3,,24.2,16.0,32.4,14058.0
106021615,Rutherford (North) - Aberglasslyn,3236.0,19.1,,24.1,15.1,33.1,13421.0
106021616,Rutherford (South) - Telarah,1731.0,18.3,,26.8,17.2,36.4,6450.0
