sa2_code,sa2_name,mild_pct,moderate_pct,severe_pct
101021007,Braidwood,6.1,8.1,4.3
101021008,Karabar,7.0,9.4,5.0
101021009,Queanbeyan,6.0,9.6,6.3
101021010,Queanbeyan - East,6.1,10.1,5.7
101021012,Queanbeyan West - Jerrabomberra,6.6,8.2,4.4
101021610,Googong,6.5,9.0,4.2
101021611,Queanbeyan Surrounds,6.9,7.6,3.9
101031013,Bombala,5.3,8.4,4.5
101031014,Cooma,6.1,9.1,5.3
101031015,Cooma Surrounds,5.9,7.9,3.7
101031016,Jindabyne - Berridale,7.5,9.5,5.6
101041017,Batemans Bay,6.2,8.8,5.6
101041018,Batemans Bay - South,6.1,8.5,5.0
101041019,Bega - Tathra,7.2,9.1,5.7
101041020,Bega-Eden Hinterland,6.8,8.0,4.5
101041021,Broulee - Tomakin,6.6,8.7,4.5
101041022,Deua - Wadbilliga,7.1,7.1,3.6
101041023,Eden,6.0,8.2,5.7
101041024,Eurobodalla Hinterland,5.7,7.3,4.8
101041025,Merimbula - Tura Beach,6.3,8.1,4.6
101041026,Moruya - Tuross Head,5.7,7.4,4.8
101041027,Narooma - Bermagui,5.5,8.4,4.4
101051539,Goulburn,6.4,8.6,6.3
101051540,Goulburn Surrounds,5.4,7.8,4.1
101061541,Yass,6.1,9.3,5.1
101061542,Yass Surrounds,6.6,8.4,3.9
101061543,Young,4.9,9.1,5.1
101061544,Young Surrounds,5.0,8.2,3.9
102011028,Avoca Beach - Copacabana,7.0,8.5,4.2
102011029,Box Head - MacMasters Beach,5.9,7.5,3.6
102011030,Calga - Kulnura,6.0,8.3,4.5
102011031,Erina - Green Point,6.2,7.1,3.9
102011032,Gosford - Springfield,6.0,9.9,6.5
102011033,Kariong,6.8,9.2,4.9
102011034,Kincumber - Picketts Valley,6.4,7.9,4.4
102011035,Narara,6.6,8.7,5.1
102011036,Niagara Park - Lisarow,7.1,8.9,4.8
102011037,Point Clare - Koolewong,7.0,8.9,4.5
102011038,Saratoga - Davistown,6.5,7.8,4.2
102011039,Terrigal - North Avoca,6.3,8.9,4.0
102011040,Umina - Booker Bay - Patonga,5.9,9.0,5.7
102011041,Wamberal - Forresters Beach,6.1,7.6,4.1
102011042,Woy Woy - Blackwall,6.1,8.9,5.5
102011043,Wyoming,7.2,9.0,5.1
102021044,Bateau Bay - Killarney Vale,7.0,9.0,5.1
